time,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8
13:00:06,--,1.04,--,--,--,--,--,--
13:20:16,1.04,--,--,--,--,--,--,--
13:40:34,0.75,0.51,--,--,--,--,--,--
14:01:05,0.51,0.75,--,--,--,--,--,--
14:21:46,0.22,0.0,--,--,--,--,--,--
14:41:50,0.0,0.22,--,--,--,--,--,--
09:41:41,--,--,--,1.04,0.75,--,--,--
10:02:48,--,--,0.75,--,1.04,--,--,--
10:24:45,--,--,1.04,0.75,--,--,--,--
10:51:53,--,--,0.51,0.22,0.0,--,--,--
11:23:06,--,--,0.22,0.0,0.51,--,--,--
11:43:25,--,--,0.0,0.51,0.22,--,--,--
09:15:40,--,--,--,--,--,--,1.04,0.75
09:40:32,--,--,--,--,--,1.04,0.75,--
10:01:54,--,--,--,--,--,0.75,--,1.04
10:22:37,--,--,--,--,--,0.51,0.22,0.0
10:48:00,--,--,--,--,--,0.22,0.0,0.51
11:09:00,--,--,--,--,--,0.0,0.51,0.22
